date,opinion,price
20120102,0.10066629299999999,316.312012
20120103,0.10066629299999999,319.066986
20120104,0.10066629299999999,326.091003
20120105,0.10066629299999999,318.608002
20120106,0.10066629299999999,314.016998
20120109,0.10066629299999999,302.998993
20120110,0.10066629299999999,294.781006
20120111,0.10066629299999999,304.834991
20120112,0.10066629299999999,301.117004
20120113,0.10066629299999999,302.998993
20120116,0.10066629299999999,307.726990
20120117,0.10066629299999999,316.496002
20120118,0.10066629299999999,318.975006
20120119,0.10066629299999999,311.261993
20120120,0.10066629299999999,314.154999
20120123,0.10066629299999999,312.226990
20120124,0.10066629299999999,325.678009
20120125,0.10066629299999999,330.544006
20120127,0.10066629299999999,336.006989
20120130,0.10066629299999999,341.562012
