date,price
01/02/12,316.312012
01/03/12,319.066986
01/04/12,326.091003
01/05/12,318.608002
01/06/12,314.016998
01/09/12,302.998993
01/10/12,294.781006
01/11/12,304.834991
01/12/12,301.117004
01/13/12,302.998993
01/16/12,307.726990
01/17/12,316.496002
01/18/12,318.975006
01/19/12,311.261993
01/20/12,314.154999
01/23/12,312.226990
01/24/12,325.678009
01/25/12,330.544006
01/27/12,336.006989
01/30/12,341.562012
