date,url
https://www.google.com/search?q=tata+motors&biw=1366&bih=657&source=lnt&tbs=cdr%3A1%2Ccd_min%3A01%2F04%2F2012%2Ccd_max%3A01%2F04%2F2012&tbm=nws,/url?q=https://economictimes.indiatimes.com/markets/expert-view/tata-motors-a-trading-bet-better-to-avoid-adani-green-says-deepak-shenoy/articleshow/79274245.cms&sa=U&ved=2ahUKEwjuzZ7_rpHtAhVTo54KHc1AASUQxfQBMAR6BAgEEAE&usg=AOvVaw2nMHXrk6WUHkOf8LjK89fx
https://www.google.com/search?q=tata+motors&biw=1366&bih=657&source=lnt&tbs=cdr%3A1%2Ccd_min%3A01%2F04%2F2012%2Ccd_max%3A01%2F04%2F2012&tbm=nws,/url?q=https://economictimes.indiatimes.com/markets/expert-view/tata-motors-a-trading-bet-better-to-avoid-adani-green-says-deepak-shenoy/articleshow/79274245.cms&sa=U&ved=2ahUKEwjuzZ7_rpHtAhVTo54KHc1AASUQxfQBMAR6BAgEEAE&usg=AOvVaw2nMHXrk6WUHkOf8LjK89fx
https://www.google.com/search?q=tata+motors&biw=1366&bih=657&source=lnt&tbs=cdr%3A1%2Ccd_min%3A01%2F04%2F2012%2Ccd_max%3A01%2F04%2F2012&tbm=nws,/url?q=https://economictimes.indiatimes.com/markets/expert-view/tata-motors-a-trading-bet-better-to-avoid-adani-green-says-deepak-shenoy/articleshow/79274245.cms&sa=U&ved=2ahUKEwjuzZ7_rpHtAhVTo54KHc1AASUQ0Y8FMAR6BAgEEAI&usg=AOvVaw1c2ycQyNz01OQ66Yy1iaw2
https://www.google.com/search?q=tata+motors&biw=1366&bih=657&source=lnt&tbs=cdr%3A1%2Ccd_min%3A01%2F04%2F2012%2Ccd_max%3A01%2F04%2F2012&tbm=nws,/url?q=https://www.news18.com/news/auto/tata-motors-offers-extended-warranty-to-appease-angry-customers-over-delayed-nexon-deliveries-3097136.html&sa=U&ved=2ahUKEwjuzZ7_rpHtAhVTo54KHc1AASUQxfQBMAV6BAgCEAE&usg=AOvVaw3Z5M00M5wk6uPOB4MJ4Oqz
https://www.google.com/search?q=tata+motors&biw=1366&bih=657&source=lnt&tbs=cdr%3A1%2Ccd_min%3A01%2F04%2F2012%2Ccd_max%3A01%2F04%2F2012&tbm=nws,/url?q=https://www.news18.com/news/auto/tata-motors-offers-extended-warranty-to-appease-angry-customers-over-delayed-nexon-deliveries-3097136.html&sa=U&ved=2ahUKEwjuzZ7_rpHtAhVTo54KHc1AASUQxfQBMAV6BAgCEAE&usg=AOvVaw3Z5M00M5wk6uPOB4MJ4Oqz
https://www.google.com/search?q=tata+motors&biw=1366&bih=657&source=lnt&tbs=cdr%3A1%2Ccd_min%3A01%2F04%2F2012%2Ccd_max%3A01%2F04%2F2012&tbm=nws,/url?q=https://www.news18.com/news/auto/tata-motors-offers-extended-warranty-to-appease-angry-customers-over-delayed-nexon-deliveries-3097136.html&sa=U&ved=2ahUKEwjuzZ7_rpHtAhVTo54KHc1AASUQ0Y8FMAV6BAgCEAI&usg=AOvVaw3GoykFjYkbqHyPZusM59e1
https://www.google.com/search?q=tata+motors&biw=1366&bih=657&source=lnt&tbs=cdr%3A1%2Ccd_min%3A01%2F04%2F2012%2Ccd_max%3A01%2F04%2F2012&tbm=nws,/url?q=https://www.timesnownews.com/auto/car-news/article/tata-motors-has-sold-over-4-million-passenger-vehicles-in-india-thus-far/684247&sa=U&ved=2ahUKEwjuzZ7_rpHtAhVTo54KHc1AASUQxfQBMAZ6BAgFEAE&usg=AOvVaw1aOBRmbPJlsQyGxiLPEjN1
https://www.google.com/search?q=tata+motors&biw=1366&bih=657&source=lnt&tbs=cdr%3A1%2Ccd_min%3A01%2F04%2F2012%2Ccd_max%3A01%2F04%2F2012&tbm=nws,/url?q=https://www.timesnownews.com/auto/car-news/article/tata-motors-has-sold-over-4-million-passenger-vehicles-in-india-thus-far/684247&sa=U&ved=2ahUKEwjuzZ7_rpHtAhVTo54KHc1AASUQxfQBMAZ6BAgFEAE&usg=AOvVaw1aOBRmbPJlsQyGxiLPEjN1
https://www.google.com/search?q=tata+motors&biw=1366&bih=657&source=lnt&tbs=cdr%3A1%2Ccd_min%3A01%2F04%2F2012%2Ccd_max%3A01%2F04%2F2012&tbm=nws,/url?q=https://www.timesnownews.com/auto/car-news/article/tata-motors-has-sold-over-4-million-passenger-vehicles-in-india-thus-far/684247&sa=U&ved=2ahUKEwjuzZ7_rpHtAhVTo54KHc1AASUQ0Y8FMAZ6BAgFEAI&usg=AOvVaw2wCBySlOSlqMqWo--_NuYQ
https://www.google.com/search?q=tata+motors&biw=1366&bih=657&source=lnt&tbs=cdr%3A1%2Ccd_min%3A01%2F04%2F2012%2Ccd_max%3A01%2F04%2F2012&tbm=nws,/url?q=https://www.business-standard.com/article/companies/evs-for-personal-use-driving-sales-despite-covid-19-pandemic-tata-motors-120112000017_1.html&sa=U&ved=2ahUKEwjuzZ7_rpHtAhVTo54KHc1AASUQxfQBMAd6BAgDEAE&usg=AOvVaw14IE3Uf4HxyiUsBars8mbi
https://www.google.com/search?q=tata+motors&biw=1366&bih=657&source=lnt&tbs=cdr%3A1%2Ccd_min%3A01%2F04%2F2012%2Ccd_max%3A01%2F04%2F2012&tbm=nws,/url?q=https://www.business-standard.com/article/companies/evs-for-personal-use-driving-sales-despite-covid-19-pandemic-tata-motors-120112000017_1.html&sa=U&ved=2ahUKEwjuzZ7_rpHtAhVTo54KHc1AASUQxfQBMAd6BAgDEAE&usg=AOvVaw14IE3Uf4HxyiUsBars8mbi
